Generation,Fitness,Unnamed: 2,Generation.1,Fitness.1,Unnamed: 5,Generation.2,Fitness.2,Unnamed: 8,Generation.3,Fitness.3,Unnamed: 11,Generation.4,Fitness.4,Unnamed: 14,Unnamed: 15,Generation.5,Best,Worst,Median,Mean
Generation 0     ,12,,Generation 0     ,29,,Generation 0     ,11,,Generation 0     ,16,,Generation 0     ,14,,,0,29,11,14,18
Generation 100  ,12,,Generation 100  ,29,,Generation 100  ,11,,Generation 100  ,16,,Generation 100  ,14,,,100,29,11,14,18
Generation 200  ,12,,Generation 200  ,29,,Generation 200  ,11,,Generation 200  ,16,,Generation 200  ,14,,,200,29,11,14,18
Generation 300  ,12,,Generation 300  ,29,,Generation 300  ,11,,Generation 300  ,16,,Generation 300  ,14,,,300,29,11,14,18
Generation 400  ,12,,Generation 400  ,29,,Generation 400  ,11,,Generation 400  ,16,,Generation 400  ,14,,,400,29,11,14,18
Generation 500  ,12,,Generation 500  ,29,,Generation 500  ,11,,Generation 500  ,16,,Generation 500  ,14,,,500,29,11,14,18
Generation 600  ,12,,Generation 600  ,29,,Generation 600  ,11,,Generation 600  ,16,,Generation 600  ,14,,,600,29,11,14,18
Generation 700  ,12,,Generation 700  ,29,,Generation 700  ,11,,Generation 700  ,16,,Generation 700  ,14,,,700,29,11,14,18
Generation 800  ,12,,Generation 800  ,29,,Generation 800  ,11,,Generation 800  ,16,,Generation 800  ,14,,,800,29,11,14,18
Generation 900  ,12,,Generation 900  ,29,,Generation 900  ,11,,Generation 900  ,16,,Generation 900  ,14,,,900,29,11,14,18
Generation 1000     ,12,,Generation 1000     ,29,,Generation 1000     ,11,,Generation 1000     ,16,,Generation 1000     ,14,,,1000,29,11,14,18
Generation 1100     ,12,,Generation 1100     ,29,,Generation 1100     ,11,,Generation 1100     ,16,,Generation 1100     ,14,,,1100,29,11,14,18
Generation 1200     ,12,,Generation 1200     ,29,,Generation 1200     ,11,,Generation 1200     ,16,,Generation 1200     ,14,,,1200,29,11,14,18
Generation 1300     ,12,,Generation 1300     ,29,,Generation 1300     ,11,,Generation 1300     ,16,,Generation 1300     ,14,,,1300,29,11,14,18
Generation 1400     ,12,,Generation 1400     ,29,,Generation 1400     ,11,,Generation 1400     ,16,,Generation 1400     ,14,,,1400,29,11,14,18
Generation 1500     ,12,,Generation 1500     ,29,,Generation 1500     ,11,,Generation 1500     ,16,,Generation 1500     ,14,,,1500,29,11,14,18
Generation 1600     ,12,,Generation 1600     ,29,,Generation 1600     ,11,,Generation 1600     ,16,,Generation 1600     ,14,,,1600,29,11,14,18
Generation 1700     ,12,,Generation 1700     ,29,,Generation 1700     ,11,,Generation 1700     ,16,,Generation 1700     ,14,,,1700,29,11,14,18
